cross	sample	source_code	run_accession	fastq_ftp_end1	fastq_ftp_end2
803xGB4	PG0462-C	71D6	ERR656290	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656290/ERR656290_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656290/ERR656290_2.fastq.gz
803xGB4	PG0463-C	76H10	ERR656293	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656293/ERR656293_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656293/ERR656293_2.fastq.gz
803xGB4	PG0464-C	85D3	ERR656296	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656296/ERR656296_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656296/ERR656296_2.fastq.gz
803xGB4	PG0465-C	87A11	ERR656299	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656299/ERR656299_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656299/ERR656299_2.fastq.gz
803xGB4	PG0466-C	87E7	ERR570008	ftp.sra.ebi.ac.uk/vol1/fastq/ERR570/ERR570008/ERR570008_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR570/ERR570008/ERR570008_2.fastq.gz
803xGB4	PG0467-C	40G11	ERR570016	ftp.sra.ebi.ac.uk/vol1/fastq/ERR570/ERR570016/ERR570016_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR570/ERR570016/ERR570016_2.fastq.gz
803xGB4	PG0469-C	50C5	ERR570032	ftp.sra.ebi.ac.uk/vol1/fastq/ERR570/ERR570032/ERR570032_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR570/ERR570032/ERR570032_2.fastq.gz
803xGB4	PG0470-C	24G11	ERR570040	ftp.sra.ebi.ac.uk/vol1/fastq/ERR570/ERR570040/ERR570040_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR570/ERR570040/ERR570040_2.fastq.gz
803xGB4	PG0471-C	36D5	ERR656282	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656282/ERR656282_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656282/ERR656282_2.fastq.gz
803xGB4	PG0472-C	36E5	ERR656285	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656285/ERR656285_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656285/ERR656285_2.fastq.gz
803xGB4	PG0473-C	38G5	ERR656288	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656288/ERR656288_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656288/ERR656288_2.fastq.gz
803xGB4	PG0474-C	39C3	ERR656291	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656291/ERR656291_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656291/ERR656291_2.fastq.gz
803xGB4	PG0475-C	4E8	ERR656294	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656294/ERR656294_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656294/ERR656294_2.fastq.gz
803xGB4	PG0476-C	34F5	ERR656297	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656297/ERR656297_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR656/ERR656297/ERR656297_2.fastq.gz
803xGB4	PG0492-C	34B1	ERR905451	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905451/ERR905451_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905451/ERR905451_2.fastq.gz
803xGB4	PG0494-C	35C2	ERR905453	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905453/ERR905453_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905453/ERR905453_2.fastq.gz
803xGB4	PG0495-C	38A6	ERR905454	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905454/ERR905454_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905454/ERR905454_2.fastq.gz
803xGB4	PG0496-C	38E11	ERR905455	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905455/ERR905455_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905455/ERR905455_2.fastq.gz
803xGB4	PG0498-C	39G5	ERR905457	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905457/ERR905457_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905457/ERR905457_2.fastq.gz
803xGB4	PG0499-C	39H5	ERR905458	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905458/ERR905458_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905458/ERR905458_2.fastq.gz
803xGB4	PG0500-C	40A6	ERR905459	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905459/ERR905459_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905459/ERR905459_2.fastq.gz
803xGB4	PG0501-C	40B12	ERR905460	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905460/ERR905460_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905460/ERR905460_2.fastq.gz
803xGB4	PG0502-C	40F4	ERR905461	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905461/ERR905461_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905461/ERR905461_2.fastq.gz
803xGB4	PG0503-C	40G2	ERR905462	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905462/ERR905462_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905462/ERR905462_2.fastq.gz
803xGB4	PG0504-C	43E5	ERR905463	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905463/ERR905463_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905463/ERR905463_2.fastq.gz
803xGB4	PG0505-C	44D4	ERR905464	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905464/ERR905464_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905464/ERR905464_2.fastq.gz
803xGB4	PG0508-C	76H10-Tk13	ERR905468	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905468/ERR905468_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905468/ERR905468_2.fastq.gz
803xGB4	PG0509-C	85G7	ERR905469	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905469/ERR905469_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905469/ERR905469_2.fastq.gz
803xGB4	PG0510-C	88C9	ERR905470	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905470/ERR905470_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905470/ERR905470_2.fastq.gz
803xGB4	PG0512-C	37F12	ERR905473	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905473/ERR905473_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR905/ERR905473/ERR905473_2.fastq.gz
